id,raw_record,cleaned_record,class_label
1,"Usr login faild due too invald passwrd","User login failed due to invalid password",spelling_correction
2,"Temprature sensor readng is missng","Temperature sensor reading is missing",spelling_correction
3,"Paymnt procesing error in transction","Payment processing error in transaction",spelling_correction
4,"The sysem shuld autenticate usr","The system should authenticate user",spelling_correction
5,"Notifcation servce isnt wrking","Notification service is not working",spelling_correction
6,"Usr accnt creadted succesfully","User account created successfully",spelling_correction
7,"Camra modul detectd movment","Camera module detected movement",spelling_correction
8,"Databse conection timd out","Database connection timed out",spelling_correction
9,"Reccomendation engin faild","Recommendation engine failed",spelling_correction
10,"API reqest retrned invald data","API request returned invalid data",spelling_correction
11,"USA","United States",standardization
12,"U.S.A","United States",standardization
13,"NY","New York",standardization
14,"Pk","Pakistan",standardization
15,"D.I Khan","Dera Ismail Khan",standardization
16,"Feb 2nd 2025","2025-02-02",standardization
17,"03/11/26","2026-03-11",standardization
18,"male","Male",standardization
19,"f","Female",standardization
20,"admin-user","Administrator",standardization
21,"john smith","John Smith",capitalization_cleanup
22,"dera ismail khan","Dera Ismail Khan",capitalization_cleanup
23,"machine LEARNING engineer","Machine Learning Engineer",capitalization_cleanup
24,"sensor status ACTIVE","Sensor Status Active",capitalization_cleanup
25,"payment gateway offline","Payment Gateway Offline",capitalization_cleanup
26,"temperature threshold exceeded","Temperature Threshold Exceeded",capitalization_cleanup
27,"smart CITY monitoring","Smart City Monitoring",capitalization_cleanup
28,"iot anomaly detector","IoT Anomaly Detector",capitalization_cleanup
29,"network latency issue","Network Latency Issue",capitalization_cleanup
30,"data pipeline corrupted","Data Pipeline Corrupted",capitalization_cleanup
31,"NULL","Unknown",missing_value_imputation
32,"NaN","0",missing_value_imputation
33,"","Not Available",missing_value_imputation
34,"missing","Undefined",missing_value_imputation
35,"None","Guest",missing_value_imputation
36,"-","No Data",missing_value_imputation
37,"unknown","Unspecified",missing_value_imputation
38,"999999","0",missing_value_imputation
39,"not entered","Pending",missing_value_imputation
40,"void","Inactive",missing_value_imputation
41,"temperature is 9999 degree","temperature is 39 degree",anomaly_correction
42,"user age is 250","user age is 25",anomaly_correction
43,"network latency is -500 ms","network latency is 50 ms",anomaly_correction
44,"humidity level reached 500 percent","humidity level reached 50 percent",anomaly_correction
45,"transaction amount is 99999999","transaction amount is 9999",anomaly_correction
46,"cpu usage is 300 percent","cpu usage is 100 percent",anomaly_correction
47,"disk size detected as -1 TB","disk size detected as 1 TB",anomaly_correction
48,"sensor reading is 100000 volts","sensor reading is 100 volts",anomaly_correction
49,"response time is 99999 seconds","response time is 99 seconds",anomaly_correction
50,"vehicle speed recorded as 1200 kmh","vehicle speed recorded as 120 kmh",anomaly_correction
51,"usr email is basit@@gmail..com","user email is basit@gmail.com",spelling_correction
52,"Pakistan ","Pakistan",standardization
53,"machine learning ENGINEER","Machine Learning Engineer",capitalization_cleanup
54,"N/A","Not Available",missing_value_imputation
55,"power usage is -999 watts","power usage is 999 watts",anomaly_correction
56,"The applcation crshed suddenlly","The application crashed suddenly",spelling_correction
57,"UK","United Kingdom",standardization
58,"deep LEARNING researcher","Deep Learning Researcher",capitalization_cleanup
59,"undefined","Unknown",missing_value_imputation
60,"heart rate detected as 999 bpm","heart rate detected as 99 bpm",anomaly_correction
61,"Usr notfication wasnt delivred","User notification was not delivered",spelling_correction
62,"Lahore pk","Lahore Pakistan",standardization
63,"edge COMPUTING server","Edge Computing Server",capitalization_cleanup
64,"empty","No Value",missing_value_imputation
65,"temperature recorded as -2730 C","temperature recorded as -27 C",anomaly_correction
66,"Autentication token expird","Authentication token expired",spelling_correction
67,"DOB 12-5-99","1999-05-12",standardization
68,"iot DEVICE gateway","IoT Device Gateway",capitalization_cleanup
69,"nil","Undefined",missing_value_imputation
70,"network packets counted as 999999999","network packets counted as 999999",anomaly_correction
71,"Mesage queue isnt responing","Message queue is not responding",spelling_correction
72,"usa ","United States",standardization
73,"backend API manager","Backend API Manager",capitalization_cleanup
74,"not found","Unavailable",missing_value_imputation
75,"battery voltage is -48 volts","battery voltage is 48 volts",anomaly_correction
76,"Usr sesson timeout occred","User session timeout occurred",spelling_correction
77,"KPK","Khyber Pakhtunkhwa",standardization
78,"cyber SECURITY analyst","Cyber Security Analyst",capitalization_cleanup
79,"blank","No Entry",missing_value_imputation
80,"server uptime is 999999 days","server uptime is 999 days",anomaly_correction



81,"Dat procesing modul faild","Data processing module failed",spelling_correction
82,"Usr registrtion completd","User registration completed",spelling_correction
83,"Systm encountred fatal eror","System encountered fatal error",spelling_correction
84,"Reciever didnt get mesage","Receiver did not get message",spelling_correction
85,"Cloud storag synchroniztion faild","Cloud storage synchronization failed",spelling_correction
86,"Sensr calibrtion requird","Sensor calibration required",spelling_correction
87,"Paymnt recipt wasnt generatd","Payment receipt was not generated",spelling_correction
88,"Machin learnng model overfittd","Machine learning model overfitted",spelling_correction
89,"Usr profle pictur corupted","User profile picture corrupted",spelling_correction
90,"Datastream packet los detectd","Datastream packet loss detected",spelling_correction
